,2023,2022,2021,2020,2019,2018
0,Bahrain Grand Prix,Bahrain Grand Prix,Bahrain Grand Prix,Austrian Grand Prix,Australian Grand Prix,Australian Grand Prix
1,Saudi Arabian Grand Prix,Saudi Arabian Grand Prix,Emilia Romagna Grand Prix,Styrian Grand Prix,Bahrain Grand Prix,Bahrain Grand Prix
2,Australian Grand Prix,Australian Grand Prix,Portuguese Grand Prix,Hungarian Grand Prix,Chinese Grand Prix,Chinese Grand Prix
3,Chinese Grand Prix,Emilia Romagna Grand Prix,Spanish Grand Prix,British Grand Prix,Azerbaijan Grand Prix,Azerbaijan Grand Prix
4,Azerbaijan Grand Prix,Miami Grand Prix,Monaco Grand Prix,70th Anniversary Grand Prix,Spanish Grand Prix,Spanish Grand Prix
5,Miami Grand Prix,Spanish Grand Prix,Azerbaijan Grand Prix,Spanish Grand Prix,Monaco Grand Prix,Monaco Grand Prix
6,Emilia Romagna Grand Prix,Monaco Grand Prix,French Grand Prix,Belgian Grand Prix,Canadian Grand Prix,Canadian Grand Prix
7,Monaco Grand Prix,Azerbaijan Grand Prix,Styrian Grand Prix,Italian Grand Prix,French Grand Prix,French Grand Prix
8,Spanish Grand Prix,Canadian Grand Prix,Austrian Grand Prix,Tuscan Grand Prix,Austrian Grand Prix,Austrian Grand Prix
9,Canadian Grand Prix,British Grand Prix,British Grand Prix,Russian Grand Prix,British Grand Prix,British Grand Prix
10,Austrian Grand Prix,Austrian Grand Prix,Hungarian Grand Prix,Eifel Grand Prix,German Grand Prix,German Grand Prix
11,British Grand Prix,French Grand Prix,Belgian Grand Prix,Portuguese Grand Prix,Hungarian Grand Prix,Hungarian Grand Prix
12,Hungarian Grand Prix,Hungarian Grand Prix,Dutch Grand Prix,Emilia Romagna Grand Prix,Belgian Grand Prix,Belgian Grand Prix
13,Belgian Grand Prix,Belgian Grand Prix,Italian Grand Prix,Turkish Grand Prix,Italian Grand Prix,Italian Grand Prix
14,Dutch Grand Prix,Dutch Grand Prix,Russian Grand Prix,Bahrain Grand Prix,Singapore Grand Prix,Singapore Grand Prix
15,Italian Grand Prix,Italian Grand Prix,Turkish Grand Prix,Sakhir Grand Prix,Russian Grand Prix,Russian Grand Prix
16,Singapore Grand Prix,Singapore Grand Prix,United States Grand Prix,Abu Dhabi Grand Prix,Japanese Grand Prix,Japanese Grand Prix
17,Japanese Grand Prix,Japanese Grand Prix,Mexico City Grand Prix,,Mexican Grand Prix,United States Grand Prix
18,Qatar Grand Prix,United States Grand Prix,São Paulo Grand Prix,,United States Grand Prix,Mexican Grand Prix
19,United States Grand Prix,Mexico City Grand Prix,Qatar Grand Prix,,Brazilian Grand Prix,Brazilian Grand Prix
20,Mexico City Grand Prix,São Paulo Grand Prix,Saudi Arabian Grand Prix,,Abu Dhabi Grand Prix,Abu Dhabi Grand Prix
21,São Paulo Grand Prix,Abu Dhabi Grand Prix,Abu Dhabi Grand Prix,,,
22,Las Vegas Grand Prix,,,,,
23,Abu Dhabi Grand Prix,,,,,
